epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,22531.9,1.21065,0.7286,0.90168,0.5584,0.43238,0.44749,0.25535,1.27285,0.79305,0.90215,0.0003664,0.0003664,0.0003664
66,22876.4,1.22019,0.73089,0.89923,0.5681,0.42996,0.44962,0.25708,1.26917,0.79157,0.90132,0.0003565,0.0003565,0.0003565
67,23219.9,1.21637,0.72629,0.89796,0.55516,0.43728,0.44929,0.25849,1.26313,0.79463,0.90048,0.0003466,0.0003466,0.0003466
68,23562,1.2151,0.72521,0.8968,0.55844,0.43074,0.44478,0.25303,1.26708,0.79646,0.9013,0.0003367,0.0003367,0.0003367
69,23905.5,1.21514,0.72154,0.89782,0.55408,0.43557,0.44917,0.2556,1.27171,0.79218,0.90166,0.0003268,0.0003268,0.0003268
70,24250.7,1.20001,0.70865,0.89411,0.55939,0.43267,0.44881,0.25635,1.26918,0.7918,0.9013,0.0003169,0.0003169,0.0003169
71,24594.9,1.20562,0.71107,0.89454,0.56274,0.43333,0.45131,0.25949,1.25851,0.78471,0.90091,0.000307,0.000307,0.000307
72,24938.2,1.20519,0.7064,0.89558,0.55941,0.44115,0.45487,0.26067,1.25945,0.78636,0.89934,0.0002971,0.0002971,0.0002971
73,25281.5,1.19554,0.70698,0.89466,0.55577,0.44135,0.45048,0.26058,1.25305,0.78662,0.89823,0.0002872,0.0002872,0.0002872
74,25635.2,1.19894,0.69911,0.89092,0.56983,0.42995,0.45069,0.25982,1.24884,0.78608,0.89791,0.0002773,0.0002773,0.0002773
75,25975,1.18249,0.69147,0.8919,0.57371,0.42985,0.45181,0.25934,1.25619,0.78505,0.89935,0.0002674,0.0002674,0.0002674
76,26315.8,1.18659,0.69274,0.89131,0.56973,0.43637,0.45378,0.25968,1.26093,0.78904,0.89973,0.0002575,0.0002575,0.0002575
77,26659.5,1.18284,0.68596,0.8897,0.57925,0.43437,0.45465,0.26077,1.25583,0.78393,0.8997,0.0002476,0.0002476,0.0002476
78,27003.4,1.19184,0.69287,0.89019,0.55872,0.4372,0.45436,0.26109,1.2627,0.78517,0.89984,0.0002377,0.0002377,0.0002377
79,27344.9,1.17923,0.6826,0.89207,0.56638,0.43549,0.45295,0.26104,1.26034,0.78473,0.89884,0.0002278,0.0002278,0.0002278
80,27687.1,1.17923,0.68109,0.8893,0.56973,0.44112,0.45645,0.26402,1.25445,0.78248,0.89866,0.0002179,0.0002179,0.0002179
81,28031.5,1.17404,0.6774,0.88705,0.56526,0.43946,0.45627,0.26435,1.24757,0.78059,0.89832,0.000208,0.000208,0.000208
82,28379.8,1.16784,0.66884,0.88727,0.57946,0.42973,0.45533,0.263,1.25343,0.78556,0.89843,0.0001981,0.0001981,0.0001981
83,28724.6,1.16684,0.66648,0.8839,0.559,0.43924,0.4538,0.26213,1.25193,0.78277,0.89801,0.0001882,0.0001882,0.0001882
84,29068,1.1626,0.66173,0.8844,0.55947,0.44246,0.45534,0.26146,1.255,0.78333,0.8984,0.0001783,0.0001783,0.0001783
85,29413.2,1.15065,0.65474,0.8843,0.56049,0.44535,0.45611,0.2622,1.25834,0.78327,0.89953,0.0001684,0.0001684,0.0001684
86,29760.8,1.15398,0.65243,0.88613,0.56027,0.44633,0.45942,0.26415,1.2571,0.78299,0.89945,0.0001585,0.0001585,0.0001585
87,30105.7,1.15977,0.65621,0.88502,0.5636,0.44491,0.45852,0.26406,1.25603,0.78332,0.89858,0.0001486,0.0001486,0.0001486
88,30446.9,1.14803,0.64698,0.88313,0.55857,0.44883,0.46048,0.26565,1.25484,0.78143,0.89814,0.0001387,0.0001387,0.0001387
89,30792.9,1.14567,0.6388,0.88281,0.56978,0.44707,0.461,0.26627,1.25077,0.78194,0.89759,0.0001288,0.0001288,0.0001288
90,31138.9,1.14533,0.64074,0.88108,0.57407,0.44628,0.46023,0.26558,1.24551,0.78049,0.89734,0.0001189,0.0001189,0.0001189
91,31480.8,1.13431,0.62969,0.88736,0.56871,0.44581,0.45809,0.26461,1.24632,0.78404,0.89806,0.000109,0.000109,0.000109
92,31822.4,1.12328,0.61841,0.88441,0.56511,0.44836,0.45704,0.26359,1.2504,0.78599,0.89822,9.91e-05,9.91e-05,9.91e-05
93,32162,1.14219,0.62627,0.885,0.57498,0.44447,0.45816,0.26343,1.25412,0.78762,0.89863,8.92e-05,8.92e-05,8.92e-05
94,32502.4,1.12368,0.61318,0.88403,0.56697,0.44652,0.45754,0.26366,1.25121,0.78672,0.89846,7.93e-05,7.93e-05,7.93e-05
95,32842.2,1.12129,0.614,0.88145,0.5661,0.44836,0.45873,0.26467,1.24909,0.78685,0.89849,6.94e-05,6.94e-05,6.94e-05
96,33182.3,1.10878,0.60368,0.88195,0.57475,0.44063,0.45614,0.26224,1.2501,0.78771,0.89807,5.95e-05,5.95e-05,5.95e-05
97,33522.1,1.11362,0.60377,0.88192,0.57205,0.44298,0.45558,0.2611,1.25413,0.78913,0.89871,4.96e-05,4.96e-05,4.96e-05
98,33862.1,1.11971,0.60764,0.88098,0.57372,0.44334,0.45519,0.26132,1.25639,0.78932,0.89909,3.97e-05,3.97e-05,3.97e-05
99,34201.6,1.10233,0.59344,0.87936,0.56273,0.45,0.45481,0.26183,1.25241,0.78883,0.89832,2.98e-05,2.98e-05,2.98e-05
100,34539,1.10654,0.59528,0.8759,0.57094,0.44788,0.45601,0.26292,1.2505,0.78939,0.89805,1.99e-05,1.99e-05,1.99e-05
